id,name,stageId,stageName,severity,entryStatus,plainTerms,description,sectors,indicators,rootCauses,mitigations,related,reference,tiers
AGF-F001,No executive-approved AI policy,AGF-TA01,"Strategy, Scope & Policy",High,open,"Nobody has written down what the company will and won't do with AI. Every team decides for itself, and no two teams decide the same way.",,,,,,,,
AGF-F002,Policy not mapped to operations,AGF-TA01,"Strategy, Scope & Policy",High,open,There's a twelve-page AI policy. It lives in a shared drive. Nobody's day-to-day work changed when it was published.,,,,,,,,
AGF-F003,No risk-tier taxonomy,AGF-TA01,"Strategy, Scope & Policy",High,full,Every AI project is treated the same. A tool that suggests lunch spots gets the same scrutiny as one that declines loan applications.,"No agreed scheme exists for classifying AI use cases by risk, so every use case is implicitly treated as equivalent. Without tiers there is nothing to route on, nothing to scale review depth against, and no defensible basis for treating two use cases differently.",Cross-sector; foundational across all industries,No documented tier definitions or classification criteria | Review depth identical across materially different use cases | Reviewers unable to state which tier a given use case sits in | Risk language in policy that maps to no operational routing decision,"Policy written before any volume of use cases existed to classify | Disagreement between functions about what counts as high risk, resolved by omitting the question | Concern that publishing tiers invites teams to argue their way into a lower one","Define a small number of tiers with written classification criteria | Tie each tier to a concrete routing consequence, not just a label | Classify the existing portfolio retrospectively, not only new intake | Publish the criteria so classification can be challenged and is repeatable",AGF-F020 | AGF-F022 | AGF-F027,"Precedes most other assessment failures. An organization without tiering cannot exhibit proportionate review, because there is nothing to be proportionate to.",Tiers 1–2
AGF-F004,Prohibited-use categories unenforced,AGF-TA01,"Strategy, Scope & Policy",Critical,open,The policy says the company will never use AI for a particular purpose. Nothing in any system actually prevents someone from doing it.,,,,,,,,
AGF-F005,No accountable executive owner,AGF-TA01,"Strategy, Scope & Policy",High,open,"Ask who owns AI risk and you get four names, a committee, and a shrug.",,,,,,,,
AGF-F006,Policy unversioned / no change control,AGF-TA01,"Strategy, Scope & Policy",Moderate,open,"Someone edited the AI policy in March. Nobody can say what it said in February, or who changed it, or why.",,,,,,,,
AGF-F007,Strategy–execution disconnect,AGF-TA01,"Strategy, Scope & Policy",Moderate,open,Leadership announced an AI strategy. The projects actually being funded have very little to do with it.,,,,,,,,
AGF-F008,No value measurement for the AI programme,AGF-TA01,"Strategy, Scope & Policy",Moderate,open,"The AI programme has been running eighteen months. When the CFO asks what it delivered, the answer is a list of projects, not a number — so at the next budget cycle, governance reads as pure cost.",,,,,,,,
AGF-F010,Intake bypass,AGF-TA02,Intake & Discovery,High,full,"A team bought an AI tool on a corporate card, rolled it out to forty people, and the governance team found out when someone mentioned it in an unrelated meeting.","A use case reaches production without ever entering the governance intake process. It is never tiered, never reviewed, and never approved — so no downstream control in the lifecycle can attach to it.",Cross-sector,AI expenditure appearing with no corresponding intake record | SaaS AI features enabled without a change request | Model or API traffic originating from teams with no registered use case | Vendor renewal documentation describing capabilities absent from the register,"Intake operates as a request rather than a gate, so nothing structurally prevents bypass | Procurement and governance workflows are not integrated | Intake is perceived as slow, so delivery teams route around it — see AGF-F027 and AGF-F037",Integrate procurement with governance so AI expenditure triggers intake automatically | Scan for AI features newly enabled within the existing SaaS estate | Make the gate structural by tying it to funding release or access provisioning | Run amnesty-based discovery drives that surface existing bypasses without penalty | Address review throughput first — enforcement without a fast path drives bypass underground,AGF-F011 | AGF-F015 | AGF-F027 | AGF-F037 | AGF-F091,No single canonical public incident. Prevalence is supported by Verizon DBIR 2026 and IBM/Ponemon 2025 findings on unauthorized AI use.,Tiers 1–2
AGF-F011,Unsanctioned AI use,AGF-TA02,Intake & Discovery,Critical,full,"Half the department is pasting work into a free chatbot on their phones. It isn't on any list, because nobody ever decided to use it — people just started.","Individuals use unsanctioned AI tools on corporate data and devices, entirely outside any governance perimeter. Distinct from intake bypass in that no organizational adoption decision occurs at all — adoption is individual and invisible.","Cross-sector; consequences most acute in banking, biopharma, and insurance where the underlying data is regulated",Personal-account access to AI services from corporate devices | Cloud access security telemetry showing traffic to consumer AI domains | Expense claims for individual AI subscriptions | Sensitive document volume moving toward consumer AI endpoints,"Sanctioned tooling is slower, less capable, or unavailable for the task | No approved-tool catalog exists, so there is nothing concrete to comply with | An enforcement-only posture drives usage further underground rather than eliminating it | Pent-up demand created by slow or opaque approval — see AGF-F037",Provide fast sanctioned pathways rather than relying on prohibition alone | Apply redaction and data-loss controls at the egress point | Publish an approved-tool catalog with a genuinely fast addition process | Lead with amnesty-based discovery before enforcement,AGF-F010 | AGF-F052 | AGF-F037,"Widely reported corporate source-code exposure through consumer AI assistants (2023) led to internal prohibitions at several large manufacturers. Netskope 2026 reports 47% of generative AI users on personal, unmanaged accounts.",Tier 1
